run,pre_arta_defect,post_arta_defect,zk_status,pre_rta_dist,post_rta_dist,langlands_loss,total_loss,zk_time
1,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,229.348µs
2,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,277.23µs
3,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,341.475µs
4,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,218.589µs
5,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,206.905µs
6,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,215.542µs
7,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,238.488µs
8,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,206.152µs
9,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,213.987µs
10,350.0000,0.00000009,REJECTED,N/A,1000100.00000000,0.50000009,0.50000017,207.351µs
